order_id,product_id,quantity,unit_price
O0000001,P00085,2,1109.56
O0000001,P00040,3,124.56
O0000002,P00368,1,1056.8
O0000002,P00339,2,49.28
O0000003,P00083,4,911.79
O0000003,P00012,2,1354.36
O0000004,P00323,1,1016.08
O0000004,P00457,2,1389.77
O0000004,P00029,2,20.36
O0000005,P00369,3,1368.13
O0000005,P00485,1,541.17
O0000006,P00088,2,2369.76
O0000006,P00426,4,335.39
O0000007,P00086,3,392.04
O0000008,P00198,2,1301.6
O0000009,P00077,1,542.12
O0000010,P00402,1,2431.65
O0000010,P00048,4,1825.43
O0000011,P00221,4,830.0
O0000011,P00190,1,324.32
O0000011,P00358,4,2359.73
O0000011,P00118,4,1557.91
O0000012,P00390,1,1600.9
O0000012,P00218,2,975.08
O0000013,P00210,3,1142.06
O0000013,P00097,1,642.21
O0000014,P00193,2,1123.1
O0000014,P00353,3,2332.01
O0000014,P00210,3,1142.06
O0000014,P00055,2,623.43
O0000014,P00219,3,942.4
O0000015,P00387,2,2436.38
O0000015,P00212,4,615.72
O0000016,P00158,3,270.47
O0000016,P00397,4,809.58
O0000016,P00377,2,2440.01
O0000016,P00438,1,1616.18
O0000017,P00411,1,641.22
O0000018,P00422,2,793.83
O0000018,P00242,4,169.38
O0000019,P00477,4,2074.44
O0000020,P00397,2,809.58
O0000021,P00100,1,787.21
O0000021,P00402,2,2431.65
O0000021,P00315,2,1350.96
O0000021,P00346,1,1146.17
O0000022,P00045,3,2182.33
O0000022,P00400,4,108.1
O0000023,P00036,1,2203.95
O0000024,P00299,3,566.67
O0000024,P00178,3,2100.35
O0000025,P00209,1,2224.16
O0000025,P00287,1,246.26
O0000026,P00490,3,2102.67
O0000026,P00449,3,233.73
O0000027,P00235,4,2271.22
O0000027,P00460,1,514.21
O0000027,P00247,1,240.99
O0000028,P00113,2,1554.98
O0000029,P00148,1,406.16
O0000029,P00205,3,2081.01
O0000030,P00112,3,376.74
O0000030,P00094,2,1446.97
O0000031,P00428,2,1879.04
O0000031,P00429,3,1839.18
O0000032,P00490,4,2102.67
O0000032,P00315,1,1350.96
O0000032,P00392,1,1170.67
O0000033,P00445,3,1314.91
O0000033,P00252,2,2482.22
O0000033,P00392,3,1170.67
O0000033,P00204,2,1172.6
O0000033,P00385,2,414.85
O0000034,P00017,3,1355.36
O0000034,P00202,2,2012.1
O0000035,P00108,4,1810.27
O0000035,P00298,1,428.35
O0000036,P00281,3,257.75
O0000036,P00122,3,1979.84
O0000037,P00386,3,2356.97
O0000038,P00068,2,144.43
O0000038,P00417,1,745.05
O0000038,P00370,3,1498.83
O0000039,P00077,4,542.12
O0000039,P00413,1,2471.08
O0000039,P00091,4,1624.37
O0000039,P00256,2,1105.82
O0000040,P00154,3,61.57
O0000040,P00288,1,1951.24
O0000040,P00204,1,1172.6
O0000040,P00354,2,273.31
O0000040,P00031,2,139.6
O0000041,P00287,3,246.26
O0000041,P00177,1,147.34
O0000042,P00311,2,1066.25
O0000042,P00296,2,1651.78
O0000042,P00400,3,108.1
O0000043,P00196,3,2372.83
O0000043,P00238,2,418.8
O0000044,P00293,4,2411.97
O0000045,P00137,4,2249.68
O0000045,P00139,4,1806.29
O0000046,P00095,1,1182.98
O0000046,P00065,2,2268.72
O0000046,P00339,3,49.28
O0000047,P00281,1,257.75
O0000047,P00014,4,963.32
O0000047,P00269,1,1911.95
O0000047,P00054,3,247.07
O0000047,P00317,2,558.08
O0000048,P00378,3,777.46
O0000048,P00227,2,1768.85
O0000048,P00068,2,144.43
O0000049,P00500,3,1475.38
O0000049,P00281,4,257.75
O0000050,P00234,4,2411.83
O0000050,P00269,3,1911.95
O0000050,P00466,3,1557.1
O0000050,P00247,2,240.99
O0000051,P00268,2,748.55
O0000051,P00177,3,147.34
O0000051,P00241,1,1125.14
O0000052,P00409,3,683.67
O0000052,P00306,2,1132.19
O0000052,P00408,1,83.21
O0000053,P00367,4,1254.75
O0000053,P00425,4,59.52
O0000054,P00265,3,1743.63
O0000054,P00146,3,463.33
O0000054,P00212,2,615.72
O0000055,P00359,4,795.37
O0000056,P00274,1,1318.1
O0000056,P00096,1,1738.78
O0000056,P00145,3,2020.95
O0000057,P00176,4,2264.69
O0000057,P00160,4,1113.89
O0000057,P00191,4,2311.91
O0000058,P00075,1,1097.4
O0000058,P00137,4,2249.68
O0000058,P00037,4,34.44
O0000058,P00093,2,1840.32
O0000059,P00500,4,1475.38
O0000059,P00127,1,1544.9
O0000060,P00341,2,1285.59
O0000061,P00382,1,1805.23
O0000061,P00130,4,620.27
O0000061,P00327,3,517.76
O0000061,P00102,3,620.67
O0000062,P00223,3,2450.05
O0000062,P00008,2,1594.68
O0000062,P00407,3,2401.89
O0000062,P00300,1,1934.27
O0000063,P00080,3,1390.38
O0000063,P00395,1,2258.4
O0000064,P00174,1,2416.18
O0000065,P00120,3,2193.0
O0000065,P00286,3,1399.11
O0000065,P00413,4,2471.08
O0000066,P00069,3,2374.79
O0000066,P00461,1,1780.23
O0000067,P00096,3,1738.78
O0000067,P00166,4,834.28
O0000068,P00080,4,1390.38
O0000068,P00152,3,2364.13
O0000069,P00453,1,863.27
O0000070,P00338,4,2335.8
O0000070,P00098,4,1041.92
O0000071,P00268,1,748.55
O0000071,P00023,2,606.44
O0000072,P00051,1,331.31
O0000072,P00293,4,2411.97
O0000073,P00368,1,1056.8
O0000073,P00007,2,128.87
O0000073,P00336,4,483.79
O0000074,P00381,4,43.32
O0000074,P00421,3,2468.17
O0000074,P00407,1,2401.89
O0000075,P00492,1,503.13
O0000075,P00052,2,1376.62
O0000076,P00128,2,261.9
O0000076,P00286,4,1399.11
O0000076,P00383,1,947.74
O0000076,P00393,3,1675.33
O0000076,P00346,4,1146.17
O0000077,P00081,4,587.89
O0000077,P00478,3,1156.17
O0000078,P00392,4,1170.67
O0000078,P00423,3,1966.25
O0000078,P00312,2,363.64
O0000079,P00493,4,1926.46
O0000079,P00230,4,1407.81
O0000079,P00001,1,1857.75
O0000080,P00456,3,1933.78
O0000080,P00004,3,705.51
O0000081,P00471,2,243.48
O0000081,P00049,1,125.3
O0000081,P00236,3,1053.44
O0000081,P00080,2,1390.38
O0000081,P00136,3,1153.24
O0000082,P00048,4,1825.43
O0000082,P00292,2,1085.08
O0000083,P00420,1,312.74
O0000083,P00305,3,591.16
O0000083,P00020,4,2323.35
O0000083,P00041,1,39.03
O0000084,P00062,2,2084.73
O0000085,P00164,2,112.27
O0000085,P00168,2,2035.76
O0000085,P00079,1,1985.44
O0000085,P00345,4,847.5
O0000086,P00222,3,1337.86
O0000086,P00403,4,1112.67
O0000086,P00076,2,1879.93
O0000087,P00205,4,2081.01
O0000087,P00397,2,809.58
O0000088,P00334,2,1480.09
O0000088,P00288,2,1951.24
O0000089,P00058,4,1673.93
O0000089,P00217,3,924.35
O0000090,P00013,3,1893.12
O0000091,P00023,2,606.44
O0000091,P00103,3,701.47
O0000092,P00486,2,299.84
O0000092,P00445,3,1314.91
O0000092,P00008,3,1594.68
O0000093,P00105,3,2452.22
O0000093,P00281,4,257.75
O0000093,P00319,2,427.46
O0000094,P00023,3,606.44
O0000094,P00088,1,2369.76
O0000094,P00146,2,463.33
O0000094,P00405,3,97.18
O0000095,P00468,3,708.59
O0000095,P00443,1,1534.14
O0000096,P00195,1,328.68
O0000097,P00288,1,1951.24
O0000097,P00021,2,573.37
O0000097,P00473,3,612.26
O0000098,P00178,3,2100.35
O0000098,P00182,3,1585.41
O0000098,P00121,3,2013.52
O0000098,P00416,1,1820.48
O0000098,P00321,3,2407.49
O0000099,P00071,1,2412.33
O0000099,P00374,4,593.07
O0000100,P00117,4,2277.88
O0000100,P00124,2,2289.41
O0000100,P00219,3,942.4
O0000100,P00466,3,1557.1
O0000101,P00104,2,2165.17
O0000102,P00070,4,1416.46
O0000102,P00466,2,1557.1
O0000103,P00163,2,1518.44
O0000103,P00373,1,1414.33
O0000103,P00392,3,1170.67
O0000104,P00421,3,2468.17
O0000104,P00078,2,614.77
O0000105,P00291,2,280.83
O0000105,P00306,2,1132.19
O0000106,P00400,4,108.1
O0000106,P00069,4,2374.79
O0000107,P00210,1,1142.06
O0000107,P00474,3,2291.09
O0000107,P00487,4,259.03
O0000108,P00091,4,1624.37
O0000108,P00444,4,1110.11
O0000108,P00353,3,2332.01
O0000109,P00369,3,1368.13
O0000110,P00269,1,1911.95
O0000111,P00266,4,781.43
O0000111,P00377,1,2440.01
O0000111,P00286,4,1399.11
O0000111,P00265,1,1743.63
O0000111,P00098,3,1041.92
O0000111,P00226,4,62.06
O0000112,P00314,1,430.62
O0000112,P00354,2,273.31
O0000112,P00238,4,418.8
O0000112,P00047,1,2349.0
O0000113,P00092,4,1106.3
O0000114,P00355,2,2304.37
O0000114,P00368,1,1056.8
O0000114,P00047,1,2349.0
O0000115,P00262,2,2120.13
O0000116,P00468,3,708.59
O0000116,P00290,2,1218.31
O0000116,P00084,2,740.96
O0000116,P00092,1,1106.3
O0000117,P00061,2,1770.45
O0000118,P00235,4,2271.22
O0000118,P00438,4,1616.18
O0000118,P00279,1,2404.25
O0000119,P00041,1,39.03
O0000120,P00420,2,312.74
O0000120,P00026,2,2004.47
O0000120,P00076,1,1879.93
O0000121,P00170,1,2113.4
O0000122,P00146,2,463.33
O0000122,P00495,4,1001.01
O0000123,P00420,1,312.74
O0000124,P00063,3,29.65
O0000124,P00169,4,2378.66
O0000124,P00269,2,1911.95
O0000124,P00357,2,739.81
O0000124,P00314,1,430.62
O0000125,P00310,3,307.89
O0000125,P00219,3,942.4
O0000125,P00133,3,51.93
O0000125,P00475,2,1224.71
O0000126,P00253,2,1688.65
O0000126,P00453,2,863.27
O0000126,P00363,3,316.81
O0000126,P00100,1,787.21
O0000127,P00316,4,2060.86
O0000127,P00212,1,615.72
O0000128,P00006,2,325.19
O0000128,P00354,3,273.31
O0000129,P00352,3,1167.86
O0000129,P00175,4,1782.83
O0000130,P00170,3,2113.4
O0000130,P00473,4,612.26
O0000130,P00470,4,561.61
O0000131,P00459,3,1140.32
O0000132,P00154,3,61.57
O0000132,P00285,1,1120.17
O0000132,P00107,3,2413.9
O0000133,P00274,2,1318.1
O0000133,P00293,4,2411.97
O0000134,P00158,3,270.47
O0000134,P00364,1,2294.81
O0000134,P00140,4,1048.73
O0000135,P00155,2,301.21
O0000135,P00058,3,1673.93
O0000135,P00402,1,2431.65
O0000136,P00248,2,1047.33
O0000136,P00098,3,1041.92
O0000137,P00481,2,903.88
O0000137,P00106,1,1767.49
O0000137,P00236,4,1053.44
O0000138,P00352,1,1167.86
O0000138,P00171,4,1499.16
O0000139,P00160,2,1113.89
O0000139,P00165,2,1030.79
O0000140,P00226,1,62.06
O0000140,P00140,2,1048.73
O0000140,P00081,3,587.89
O0000140,P00059,1,1133.42
O0000141,P00483,3,748.02
O0000141,P00294,2,922.06
O0000142,P00277,4,2115.64
O0000142,P00026,2,2004.47
O0000143,P00092,4,1106.3
O0000143,P00316,3,2060.86
O0000143,P00160,3,1113.89
O0000143,P00419,2,2130.27
O0000144,P00417,4,745.05
O0000144,P00050,4,1563.54
O0000144,P00159,4,1889.8
O0000145,P00201,2,316.59
O0000146,P00244,1,1145.62
O0000147,P00066,1,2169.13
O0000147,P00208,1,2065.71
O0000147,P00167,1,2293.11
O0000148,P00123,2,1467.63
O0000149,P00221,4,830.0
O0000149,P00291,3,280.83
O0000149,P00279,2,2404.25
O0000150,P00365,4,319.48
O0000150,P00059,4,1133.42
O0000150,P00167,1,2293.11
O0000150,P00421,4,2468.17
O0000151,P00420,4,312.74
O0000151,P00168,4,2035.76
O0000152,P00298,1,428.35
O0000153,P00101,2,2368.45
O0000154,P00156,4,1478.35
O0000154,P00368,3,1056.8
O0000154,P00046,1,1005.19
O0000154,P00314,4,430.62
O0000155,P00287,3,246.26
O0000155,P00057,3,1949.37
O0000155,P00444,1,1110.11
O0000156,P00163,4,1518.44
O0000156,P00208,4,2065.71
O0000157,P00432,3,322.13
O0000157,P00431,4,1639.12
O0000157,P00079,3,1985.44
O0000158,P00074,4,2402.56
O0000158,P00337,4,295.17
O0000158,P00500,2,1475.38
O0000158,P00044,2,76.59
O0000159,P00218,4,975.08
O0000159,P00197,3,926.87
O0000160,P00256,2,1105.82
O0000160,P00365,3,319.48
O0000161,P00189,1,106.0
O0000161,P00298,4,428.35
O0000161,P00493,1,1926.46
O0000161,P00073,3,1338.87
O0000162,P00046,2,1005.19
O0000162,P00242,1,169.38
O0000162,P00351,3,828.34
O0000163,P00294,3,922.06
O0000164,P00356,3,346.78
O0000164,P00373,3,1414.33
O0000164,P00032,4,185.28
O0000165,P00014,3,963.32
O0000165,P00249,1,1452.1
O0000166,P00130,2,620.27
O0000166,P00316,3,2060.86
O0000166,P00141,3,241.69
O0000166,P00008,1,1594.68
O0000167,P00134,2,329.99
O0000168,P00044,2,76.59
O0000168,P00305,2,591.16
O0000168,P00429,4,1839.18
O0000169,P00376,3,2118.51
O0000169,P00028,3,2422.96
O0000170,P00155,4,301.21
O0000170,P00383,2,947.74
O0000171,P00007,3,128.87
O0000171,P00475,4,1224.71
O0000171,P00196,3,2372.83
O0000171,P00493,1,1926.46
O0000172,P00222,3,1337.86
O0000172,P00172,3,1695.76
O0000172,P00137,1,2249.68
O0000172,P00131,4,2035.44
O0000173,P00173,2,2414.51
O0000173,P00161,1,786.36
O0000174,P00054,4,247.07
O0000174,P00180,2,550.9
O0000175,P00337,2,295.17
O0000175,P00487,1,259.03
O0000175,P00363,1,316.81
O0000175,P00045,2,2182.33
O0000175,P00193,2,1123.1
O0000176,P00339,1,49.28
O0000176,P00328,4,219.82
O0000176,P00473,3,612.26
O0000176,P00394,4,1055.3
O0000177,P00171,1,1499.16
O0000177,P00133,3,51.93
O0000177,P00092,4,1106.3
O0000178,P00331,4,236.99
O0000179,P00227,3,1768.85
O0000179,P00053,1,1112.84
O0000180,P00229,1,1401.85
O0000180,P00460,4,514.21
O0000181,P00359,3,795.37
O0000181,P00464,4,1546.03
O0000182,P00252,4,2482.22
O0000182,P00224,4,2418.17
O0000183,P00063,3,29.65
O0000183,P00171,3,1499.16
O0000184,P00274,3,1318.1
O0000185,P00339,2,49.28
O0000186,P00353,3,2332.01
O0000187,P00369,2,1368.13
O0000187,P00251,4,2482.25
O0000187,P00033,3,1056.77
O0000188,P00029,3,20.36
O0000188,P00404,1,1017.41
O0000188,P00208,1,2065.71
O0000189,P00077,2,542.12
O0000190,P00010,4,2057.18
O0000191,P00158,1,270.47
O0000191,P00234,2,2411.83
O0000191,P00428,1,1879.04
O0000192,P00113,1,1554.98
O0000192,P00412,2,1623.65
O0000192,P00219,3,942.4
O0000193,P00407,2,2401.89
O0000193,P00392,1,1170.67
O0000193,P00304,2,2325.86
O0000193,P00172,1,1695.76
O0000194,P00357,3,739.81
O0000194,P00284,2,959.3
O0000194,P00225,2,1317.72
O0000194,P00474,1,2291.09
O0000195,P00042,1,1083.02
O0000195,P00004,2,705.51
O0000195,P00475,1,1224.71
O0000195,P00362,3,2052.92
O0000196,P00074,3,2402.56
O0000196,P00268,4,748.55
O0000196,P00211,2,2155.79
O0000196,P00481,2,903.88
O0000196,P00313,1,354.29
O0000197,P00155,3,301.21
O0000197,P00215,1,1151.22
O0000197,P00286,2,1399.11
O0000197,P00099,1,2320.27
O0000198,P00277,2,2115.64
O0000198,P00238,2,418.8
O0000198,P00142,1,1397.58
O0000198,P00100,1,787.21
O0000199,P00331,3,236.99
O0000199,P00146,2,463.33
O0000200,P00389,4,232.76
O0000200,P00023,1,606.44
O0000201,P00459,2,1140.32
O0000201,P00370,4,1498.83
O0000202,P00347,3,2237.26
O0000202,P00118,1,1557.91
O0000202,P00167,2,2293.11
O0000203,P00242,4,169.38
