order_id,customer_id,order_date,status,total_amount
O0000001,C005654,2026-05-05 15:56:00,completed,2592.8
O0000002,C003466,2026-02-08 05:10:00,completed,1155.36
O0000003,C006794,2026-03-26 23:07:00,completed,6355.88
O0000004,C000707,2026-02-02 18:37:00,completed,3836.34
O0000005,C004232,2026-02-16 16:25:00,completed,4645.56
O0000006,C003549,2026-04-25 19:30:00,cancelled,6081.08
O0000007,C009845,2026-02-06 18:52:00,pending,1176.12
O0000008,C007430,2026-06-02 18:04:00,completed,2603.2
O0000009,C001779,2026-01-05 06:33:00,cancelled,542.12
O0000010,C002907,2026-05-02 19:38:00,completed,9733.37
O0000011,C002136,2026-06-04 17:52:00,completed,19314.88
O0000012,C006247,2026-03-31 18:51:00,completed,3551.06
O0000013,C004171,2026-05-03 07:58:00,cancelled,4068.39
O0000014,C000117,2026-05-28 16:07:00,completed,16742.47
O0000015,C004282,2026-05-18 13:36:00,completed,7335.64
O0000016,C002929,2026-04-05 17:35:00,completed,10545.93
O0000017,C003765,2026-04-25 22:10:00,completed,641.22
O0000018,C002634,2026-04-10 20:00:00,pending,2265.18
O0000019,C001445,2026-01-17 08:14:00,completed,8297.76
O0000020,C008537,2026-03-15 22:38:00,completed,1619.16
O0000021,C008100,2026-04-23 00:12:00,cancelled,9498.6
O0000022,C005894,2026-03-03 20:00:00,refunded,6979.39
O0000023,C005786,2026-06-21 12:25:00,completed,2203.95
O0000024,C009005,2026-03-14 23:53:00,completed,8001.06
O0000025,C003708,2026-06-05 06:29:00,cancelled,2470.42
O0000026,C008244,2026-03-17 10:07:00,pending,7009.2
O0000027,C007255,2026-04-07 18:30:00,pending,9840.08
O0000028,C004225,2026-01-18 12:40:00,pending,3109.96
O0000029,C005173,2026-04-16 11:33:00,completed,6649.19
O0000030,C001246,2026-05-22 05:30:00,completed,4024.16
O0000031,C008176,2026-02-21 07:47:00,completed,9275.62
O0000032,C002556,2026-01-28 03:58:00,completed,10932.31
O0000033,C007902,2026-04-06 19:20:00,completed,15596.08
O0000034,C000888,2026-05-15 13:30:00,cancelled,8090.28
O0000035,C007491,2026-01-31 22:33:00,completed,7669.43
O0000036,C005332,2026-04-03 19:55:00,completed,6712.77
O0000037,C007723,2026-06-06 10:23:00,completed,7070.91
O0000038,C005982,2026-04-13 08:28:00,completed,5530.4
O0000039,C003864,2026-05-23 13:54:00,completed,13348.68
O0000040,C008471,2026-05-17 23:20:00,pending,4134.37
O0000041,C004167,2026-05-02 20:06:00,completed,886.12
O0000042,C006747,2026-02-01 11:55:00,completed,5760.36
O0000043,C005819,2026-03-25 21:32:00,completed,7956.09
O0000044,C002746,2026-06-13 10:26:00,completed,9647.88
O0000045,C001169,2026-01-21 05:21:00,completed,16223.88
O0000046,C005951,2026-05-31 16:28:00,completed,5868.26
O0000047,C001312,2026-02-23 05:25:00,completed,7880.35
O0000048,C001382,2026-06-17 12:19:00,completed,6158.94
O0000049,C000469,2026-01-09 21:22:00,cancelled,5457.14
O0000050,C002214,2026-06-28 17:11:00,completed,20536.45
O0000051,C001468,2026-04-24 09:23:00,completed,3064.26
O0000052,C008060,2026-05-03 09:00:00,pending,4398.6
O0000053,C008982,2026-04-06 06:26:00,cancelled,5257.08
O0000054,C003615,2026-03-09 02:27:00,completed,7852.32
O0000055,C001122,2026-02-16 04:18:00,completed,3181.48
O0000056,C003077,2026-03-24 00:09:00,completed,9119.73
O0000057,C002049,2026-04-23 23:00:00,completed,22761.96
O0000058,C000520,2026-03-26 02:53:00,pending,13914.52
O0000059,C004098,2026-04-08 00:07:00,refunded,7446.42
O0000060,C003264,2026-04-28 23:49:00,completed,2571.18
O0000061,C007747,2026-04-10 21:19:00,cancelled,7701.6
O0000062,C000854,2026-06-20 06:07:00,completed,19679.45
O0000063,C006485,2026-03-04 00:02:00,completed,6429.54
O0000064,C004076,2026-02-10 15:05:00,completed,2416.18
O0000065,C000980,2026-04-02 20:09:00,completed,20660.65
O0000066,C003162,2026-01-06 22:24:00,completed,8904.6
O0000067,C007952,2026-06-30 14:35:00,completed,8553.46
O0000068,C004511,2026-06-03 17:10:00,completed,12653.91
O0000069,C008874,2026-04-04 14:00:00,pending,863.27
O0000070,C005966,2026-06-08 07:20:00,completed,13510.88
O0000071,C009036,2026-02-09 19:18:00,completed,1961.43
O0000072,C002927,2026-01-09 06:06:00,completed,9979.19
O0000073,C008027,2026-05-15 19:44:00,completed,3249.7
O0000074,C001311,2026-04-30 20:03:00,completed,9979.68
O0000075,C004356,2026-05-16 01:46:00,completed,3256.37
O0000076,C008711,2026-04-09 06:12:00,completed,16678.65
O0000077,C006998,2026-01-27 05:50:00,completed,5820.07
O0000078,C005164,2026-05-21 10:54:00,completed,11308.71
O0000079,C009227,2026-05-20 06:24:00,pending,15194.83
