order_id,product_id,quantity,unit_price
O0000001,P00380,1,1867.18
O0000001,P00303,4,181.93
O0000001,P00017,1,1355.36
O0000002,P00288,2,1951.24
O0000002,P00367,4,1254.75
O0000002,P00113,4,1554.98
O0000003,P00080,2,1390.38
O0000003,P00491,3,1225.12
O0000004,P00177,3,147.34
O0000005,P00425,3,59.52
O0000006,P00117,3,2277.88
O0000006,P00041,2,39.03
O0000006,P00444,1,1110.11
O0000006,P00195,3,328.68
O0000007,P00480,1,56.97
O0000007,P00312,2,363.64
O0000007,P00274,2,1318.1
O0000008,P00328,2,219.82
O0000008,P00351,3,828.34
O0000008,P00432,1,322.13
O0000009,P00449,3,233.73
O0000009,P00109,4,1563.8
O0000009,P00203,4,2498.99
O0000010,P00276,3,247.35
O0000010,P00383,4,947.74
O0000010,P00460,4,514.21
O0000010,P00186,2,614.2
O0000010,P00071,4,2412.33
O0000011,P00033,4,1056.77
O0000011,P00196,4,2372.83
O0000011,P00271,3,2363.79
O0000012,P00454,3,2057.27
O0000013,P00369,3,1368.13
O0000013,P00498,2,2270.7
O0000013,P00260,1,1191.69
O0000013,P00446,3,2100.0
O0000014,P00083,1,911.79
O0000014,P00307,3,2001.76
O0000014,P00251,1,2482.25
O0000015,P00044,4,76.59
O0000015,P00418,1,567.3
O0000015,P00390,2,1600.9
O0000015,P00066,4,2169.13
O0000015,P00485,2,541.17
O0000016,P00476,2,1340.02
O0000017,P00127,2,1544.9
O0000017,P00033,3,1056.77
O0000017,P00011,2,1643.77
O0000017,P00302,2,1963.91
O0000018,P00035,1,1558.58
O0000018,P00441,3,469.43
O0000019,P00479,4,1401.84
O0000019,P00125,4,771.35
O0000019,P00414,4,2016.49
O0000020,P00217,4,924.35
O0000020,P00240,1,2454.49
O0000020,P00345,1,847.5
O0000021,P00275,4,2398.86
O0000021,P00072,4,1486.36
O0000021,P00094,3,1446.97
O0000022,P00439,1,2006.97
O0000022,P00026,1,2004.47
O0000022,P00497,1,1907.26
O0000023,P00085,4,1109.56
O0000023,P00002,4,1482.37
O0000023,P00136,4,1153.24
O0000023,P00147,4,187.92
O0000024,P00152,2,2364.13
O0000025,P00245,2,1125.17
O0000025,P00030,1,399.67
O0000026,P00121,4,2013.52
O0000026,P00062,2,2084.73
O0000026,P00297,1,2309.89
O0000027,P00343,3,46.47
O0000027,P00123,3,1467.63
O0000028,P00162,1,970.44
O0000028,P00005,4,2121.02
O0000028,P00319,1,427.46
O0000029,P00451,2,1412.4
O0000029,P00190,3,324.32
O0000029,P00081,4,587.89
O0000029,P00427,3,1147.98
O0000029,P00314,1,430.62
O0000030,P00069,3,2374.79
O0000031,P00176,2,2264.69
O0000031,P00352,3,1167.86
O0000032,P00027,1,470.97
O0000032,P00325,4,2073.43
O0000032,P00425,3,59.52
O0000033,P00227,4,1768.85
O0000033,P00288,1,1951.24
O0000033,P00058,1,1673.93
O0000034,P00283,2,1933.84
O0000034,P00221,2,830.0
O0000035,P00184,2,2384.21
O0000035,P00350,2,460.67
O0000035,P00342,1,158.9
O0000036,P00474,2,2291.09
O0000036,P00443,2,1534.14
O0000037,P00411,2,641.22
O0000038,P00020,4,2323.35
O0000038,P00114,2,649.49
O0000038,P00419,4,2130.27
O0000038,P00180,3,550.9
O0000038,P00421,2,2468.17
O0000039,P00396,3,2430.83
O0000039,P00180,4,550.9
O0000040,P00134,2,329.99
O0000040,P00298,3,428.35
O0000040,P00020,1,2323.35
O0000041,P00060,4,690.21
O0000042,P00001,2,1857.75
O0000042,P00187,4,2036.57
O0000042,P00036,3,2203.95
O0000042,P00320,3,713.5
O0000043,P00284,2,959.3
O0000043,P00099,4,2320.27
O0000044,P00292,3,1085.08
O0000044,P00208,1,2065.71
O0000044,P00156,3,1478.35
O0000044,P00108,4,1810.27
O0000045,P00243,2,1730.37
O0000045,P00338,1,2335.8
O0000046,P00048,2,1825.43
O0000046,P00345,3,847.5
O0000046,P00116,2,962.69
O0000047,P00234,4,2411.83
O0000048,P00205,2,2081.01
O0000049,P00399,4,1413.27
O0000049,P00113,2,1554.98
O0000049,P00412,4,1623.65
O0000049,P00026,2,2004.47
O0000050,P00272,3,558.52
O0000051,P00460,2,514.21
O0000051,P00381,4,43.32
O0000051,P00231,3,2388.95
O0000052,P00249,2,1452.1
O0000053,P00277,1,2115.64
O0000053,P00071,2,2412.33
O0000054,P00033,4,1056.77
O0000054,P00209,3,2224.16
O0000054,P00278,4,688.67
O0000054,P00213,1,2364.28
O0000055,P00451,4,1412.4
O0000055,P00245,1,1125.17
O0000055,P00483,3,748.02
O0000056,P00280,2,1697.43
O0000056,P00250,2,2465.55
O0000057,P00371,2,630.92
O0000058,P00202,1,2012.1
O0000059,P00168,2,2035.76
O0000059,P00233,3,1600.29
O0000059,P00173,4,2414.51
O0000060,P00010,1,2057.18
O0000060,P00488,3,2251.79
O0000060,P00115,1,1602.76
O0000061,P00243,1,1730.37
O0000061,P00289,2,763.31
O0000062,P00311,1,1066.25
O0000062,P00399,2,1413.27
O0000063,P00193,4,1123.1
O0000064,P00125,1,771.35
O0000065,P00178,4,2100.35
O0000065,P00339,3,49.28
O0000065,P00036,3,2203.95
O0000065,P00007,4,128.87
O0000065,P00422,4,793.83
O0000066,P00236,2,1053.44
O0000066,P00223,2,2450.05
O0000067,P00224,3,2418.17
O0000068,P00125,4,771.35
O0000068,P00292,4,1085.08
O0000069,P00133,3,51.93
O0000070,P00006,2,325.19
O0000070,P00044,2,76.59
O0000070,P00369,4,1368.13
O0000071,P00009,1,1342.34
O0000071,P00151,2,1672.82
O0000072,P00189,4,106.0
O0000073,P00233,3,1600.29
O0000074,P00162,1,970.44
O0000074,P00381,2,43.32
O0000075,P00306,3,1132.19
O0000076,P00155,1,301.21
O0000077,P00065,4,2268.72
O0000078,P00226,3,62.06
O0000078,P00095,1,1182.98
O0000079,P00352,1,1167.86
O0000080,P00128,1,261.9
O0000080,P00286,4,1399.11
O0000080,P00311,2,1066.25
O0000081,P00157,1,1283.55
O0000081,P00313,1,354.29
O0000081,P00486,2,299.84
O0000081,P00321,2,2407.49
O0000081,P00136,1,1153.24
O0000082,P00002,4,1482.37
O0000083,P00360,4,2133.42
O0000083,P00037,2,34.44
O0000083,P00474,3,2291.09
O0000084,P00116,2,962.69
O0000084,P00466,3,1557.1
O0000084,P00424,2,108.75
O0000084,P00037,1,34.44
O0000085,P00240,3,2454.49
O0000085,P00359,4,795.37
O0000085,P00483,3,748.02
O0000085,P00257,4,596.89
O0000086,P00377,3,2440.01
O0000086,P00310,3,307.89
O0000087,P00392,3,1170.67
O0000088,P00227,3,1768.85
O0000089,P00210,3,1142.06
O0000089,P00165,1,1030.79
O0000089,P00440,2,2132.22
O0000089,P00169,4,2378.66
O0000090,P00282,1,581.92
O0000090,P00233,1,1600.29
O0000091,P00001,4,1857.75
O0000092,P00388,4,991.36
O0000092,P00321,4,2407.49
O0000092,P00390,1,1600.9
O0000093,P00063,1,29.65
O0000094,P00008,4,1594.68
O0000094,P00048,2,1825.43
O0000094,P00431,1,1639.12
O0000095,P00362,3,2052.92
O0000095,P00213,4,2364.28
O0000095,P00242,2,169.38
O0000096,P00307,2,2001.76
O0000096,P00443,1,1534.14
O0000097,P00372,3,2338.99
O0000097,P00429,4,1839.18
O0000098,P00283,4,1933.84
O0000098,P00234,3,2411.83
O0000098,P00446,2,2100.0
O0000099,P00243,4,1730.37
O0000099,P00198,2,1301.6
O0000100,P00170,1,2113.4
O0000100,P00448,4,568.43
O0000100,P00052,4,1376.62
O0000101,P00497,3,1907.26
O0000101,P00174,4,2416.18
O0000101,P00333,1,2300.94
O0000102,P00321,4,2407.49
O0000102,P00447,1,2124.38
O0000102,P00317,1,558.08
O0000102,P00121,3,2013.52
O0000103,P00086,3,392.04
O0000103,P00463,1,2459.08
O0000104,P00221,2,830.0
O0000104,P00126,4,936.96
O0000105,P00350,2,460.67
O0000105,P00255,2,1490.95
O0000106,P00342,1,158.9
O0000106,P00461,4,1780.23
O0000107,P00154,4,61.57
O0000107,P00354,3,273.31
O0000107,P00234,3,2411.83
O0000107,P00102,4,620.67
O0000107,P00437,4,2090.55
O0000107,P00055,2,623.43
O0000108,P00359,3,795.37
O0000109,P00499,1,1589.41
O0000109,P00467,4,1130.31
O0000109,P00427,3,1147.98
O0000109,P00398,2,1969.58
O0000110,P00129,2,2373.29
O0000111,P00375,2,1796.59
O0000112,P00103,2,701.47
O0000112,P00403,3,1112.67
O0000112,P00272,3,558.52
O0000113,P00240,1,2454.49
O0000113,P00073,2,1338.87
O0000113,P00441,4,469.43
O0000113,P00496,3,363.82
O0000114,P00233,3,1600.29
O0000115,P00242,1,169.38
O0000116,P00326,4,129.17
O0000116,P00466,3,1557.1
O0000116,P00333,4,2300.94
O0000116,P00060,2,690.21
O0000117,P00199,4,512.44
